date,weekly_sales
2023-04-03,29450.219999999998
2023-04-10,10704.77
2023-04-17,23997.18
2023-04-24,18841.59
2023-05-01,30495.739999999998
2023-05-08,14271.050000000001
2023-05-15,22927.16
2023-05-22,14949.539999999999
2023-05-29,24415.579999999998
2023-06-05,20151.199999999997
2023-06-12,26135.45
2023-06-19,23343.370000000003
2023-06-26,13972.72
2023-07-03,11804.029999999999
2023-07-10,28188.26
2023-07-17,12576.08
2023-07-24,39274.55
2023-07-31,19674.03
2023-08-07,14289.64
2023-08-14,30135.18
2023-08-21,17238.18
2023-08-28,22378.13
2023-09-04,21438.81
2023-09-11,23730.07
2023-09-18,23851.67
2023-09-25,19485.11
2023-10-02,33925.009999999995
2023-10-09,15281.539999999999
2023-10-16,25554.25
2023-10-23,29647.36
2023-10-30,19304.1
2023-11-06,19394.61
2023-11-13,13357.720000000001
2023-11-20,17124.37
2023-11-27,15685.98
2023-12-04,13499.75
2023-12-11,18498.6
2023-12-18,27897.94
2023-12-25,13596.79
2024-01-01,23783.22
2024-01-08,23728.57
2024-01-15,16489.82
2024-01-22,15090.810000000001
2024-01-29,12431.27
2024-02-05,12006.970000000001
2024-02-12,6913.530000000001
2024-02-19,22548.88
2024-02-26,25894.36
2024-03-04,16146.86
2024-03-11,12352.47
2024-03-18,20054.03
2024-03-25,12184.93
2024-04-01,24648.21
2024-04-08,17895.480000000003
2024-04-15,16410.12
2024-04-22,19970.16
2024-04-29,27377.57
2024-05-06,15710.16
2024-05-13,16896.22
2024-05-20,22947.440000000002
2024-05-27,24179.82
2024-06-03,21921.7
2024-06-10,33427.340000000004
2024-06-17,13205.06
2024-06-24,13018.019999999999
2024-07-01,24088.949999999997
2024-07-08,24542.14
2024-07-15,9355.78
2024-07-22,19381.87
2024-07-29,27254.7
2024-08-05,21525.97
2024-08-12,23806.42
2024-08-19,21972.64
2024-08-26,22240.52
2024-09-02,16644.51
2024-09-09,23845.940000000002
2024-09-16,23561.31
2024-09-23,22693.54
2024-09-30,14456.97
2024-10-07,20176.27
2024-10-14,27906.370000000003
2024-10-21,27077.63
2024-10-28,21900.260000000002
2024-11-04,23983.92
2024-11-11,30727.4
2024-11-18,21854.18
2024-11-25,34283.409999999996
2024-12-02,14425.14
2024-12-09,22438.71
2024-12-16,30904.260000000002
2024-12-23,17293.91
2024-12-30,19078.71
2025-01-06,1833.12
